year,Maker,2WIC,2WN,2WT,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,TOTAL
2022,ATUL GREENTECH PRIVATE LIMITED,0,0,0,0,127,0,0,0,0,0,1,0,0,0,0,0,128
2022,ATUMOBILE PVT LTD,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
2022,ATUT SANGAM,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,943
2022,AUDI AG,0,0,0,0,0,0,0,0,0,0,610,1,0,0,0,0,611
2022,AUM ENGINEERING AND WORKS,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25
2022,AUTOECO GREEN ENERGY PVT LTD,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21
2022,AUTOHAUS PRIVATE LIMITED,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,485
2022,AUTOLITE (INDIA) LIMITED,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,64
2022,AUTOMOBILI LAMBORGHINI S.P.A,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,93
2022,A.V.AUTOMOTIVES PVT LTD,0,0,0,0,"1,451",0,0,0,0,0,0,0,0,0,0,2,"1,453"
2022,AVL ELECTRIC VEHICLES,0,0,0,0,"1,480",0,0,0,0,0,0,0,0,0,0,45,"1,525"
2022,AVON CYCLES LTD,0,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,760
2022,AVTAR ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
2022,AWACHAT INDUSTRIES LTD,0,0,0,0,0,0,0,0,0,22,"1,042",0,0,265,0,0,"1,329"
2022,AYAAN ELECTRONIC PVT LTD,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
2022,BABA E-VEHICLES,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,288
2022,BABA HARI DAS FABRICATION,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2022,BABAJI ENGINEERING TRAILOR WORKS,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
2022,BABA PRODUCT,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,34
2022,BAGHWAN RIKSHAW UDYOG,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
2022,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2022,BAJAJ AUTO LTD,27,"16,73,240",707,"13,175","2,10,474",0,0,0,0,"3,405",65,349,0,0,0,53,"19,01,495"
2022,BAJAJ IMPLEMENTS PVT. LTD,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,195
2022,BALAJEE ENGINEERING,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,9
2022,BALAJI AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,81
2022,BALAJI ENGINEERING,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2022,BALAJI TRADING COMPANY,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
2022,BALAN ENGINEERING PVT LTD,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,105
2022,BAL GOPAL WHEELS PVT LTD,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,64
2022,BALI AUTO INDUSTRIES,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,333
2022,BANKU BODY BUILDER,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
2022,BANSAL AGRICULTURE IMPLEMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,BAREJA AUTOMOTIVE,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,299
2022,"BASUDEB ENGINEERING, CUTTACK",0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,26
2022,BATTRE ELECTRIC MOBLITY PVT LTD,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516
2022,"BAUTI ENGINEERING,NAYAGARH",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
2022,BAXY LTD,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,390
2022,BEING INDIA ENERGY AND TECHNOLOGY PVT LTD,0,"13,130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,130"
2022,BEML LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4
2022,BENTINCK INDUSTRIES PVT. LTD.,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,254
2022,BENTLEY MOTORS LTD,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23
2022,BEST WAY AGENCIES PVT LTD,0,0,0,0,"6,447",0,0,0,0,0,0,0,0,0,0,0,"6,447"
2022,BESTWAY BANARASH,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,13
2022,BGAUSS AUTO PRIVATE LIMITED,0,"1,983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,983"
2022,BHADAURIA ENTERPRISES,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
2022,BHAGAT AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
